metabolite,state,time_point,qs,std_err,err_perc,ub,lb
Arginine,HP_TR,4,-0.009089955148935949,0.0012312917597105152,-0.13545630748845308,-0.007858663389225433,-0.010321246908646465
Arginine,HP_TR,24,-0.0025560090184450174,2.862451785551118e-4,-0.11198911134095017,-0.0022697638398899056,-0.002842254197000129
Arginine,HP_TR,48,-7.52637422493726e-4,1.0912015421807136e-4,-0.14498369461422972,-6.435172682756546e-4,-8.617575767117973e-4
Arginine,HP_TR,72,-2.495139780847638e-4,5.99978511661035e-5,-0.24045887780171293,-1.8951612691866032e-4,-3.0951182925086735e-4
Arginine,HP_MO,4,-0.011284703277252941,0.0014255860244330616,-0.12632906594067708,-0.00985911725281988,-0.012710289301686002
Arginine,HP_MO,24,-0.00229971091439178,2.1821400562605677e-4,-0.09488758098265986,-0.0020814969087657232,-0.002517924920017837
Arginine,HP_MO,48,-5.338375959031487e-4,7.771965582309247e-5,-0.14558670355842215,-4.561179400800562e-4,-6.115572517262412e-4
Arginine,HP_MO,72,-1.4479022699639453e-4,3.522848871942481e-5,-0.24330708950613114,-1.0956173827696971e-4,-1.8001871571581934e-4
Arginine,LP_TR,4,-0.007757408980143028,0.0014739903919582169,-0.19001065893666985,-0.006283418588184811,-0.009231399372101245
Arginine,LP_TR,24,-0.0022588827725782616,3.239647212577658e-4,-0.14341812031617576,-0.001934918051320496,-0.0025828474938360273
Arginine,LP_TR,48,-6.624547069760283e-4,1.4404811097658374e-4,-0.21744597699989818,-5.184065959994446e-4,-8.065028179526121e-4
Arginine,LP_TR,72,-2.1938034022999205e-4,8.069478206364098e-5,-0.3678305083265113,-1.3868555816635107e-4,-3.0007512229363303e-4
Arginine,LP_MO,4,-0.00772298631694276,0.001921695028988675,-0.24882797277172983,-0.005801291287954084,-0.009644681345931435
Arginine,LP_MO,24,-0.0020845168452597635,3.6360114054256187e-4,-0.17442945657618394,-0.0017209157047172016,-0.0024481179858023253
Arginine,LP_MO,48,-5.969080174413536e-4,1.0788593323657889e-4,-0.1807413036585301,-4.890220842047748e-4,-7.047939506779325e-4
Arginine,LP_MO,72,-1.8257970262326612e-4,5.417087969040567e-5,-0.2966971624561222,-1.2840882293286044e-4,-2.367505823136718e-4
